DOI,Components,Pressure,Temperature (C),Speed (mm/s),Needle,Cells (e6/ml),Additional notes,
https://10.1038/s41598-019-55034-9,Alginate [3 wt%] Gelatin [4 wt%] ,20 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [3.75 wt%] Gelatin [4 wt%] ,90 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [3.75 wt%] Gelatin [4 wt%] ,90 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [7 wt%] Gelatin [3 wt%] ,115 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [7 wt%] Gelatin [3 wt%] ,115 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [6 wt%] Gelatin [4 wt%] ,145 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [6 wt%] Gelatin [4 wt%] ,145 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [4 wt%] Gelatin [8 wt%] ,250 kPa,25,,22 Gauge Cylindrical,EGFR T790M Non Small Cell Lung Carcinoma PDX (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1038/s41598-019-55034-9,Alginate [4 wt%] Gelatin [8 wt%] ,250 kPa,25,,22 Gauge Cylindrical,AA0022 Lung Cancer Associated Fibroblasts (10),"100mM CaCl2 was used to crosslink the scaffold post-processing."
https://10.1021/acsbiomaterials.9b00167,Alginate Dialdehyde [6 wt%] Gelatin [2 wt%] ,0.47 Bar,26,25,27 Gauge Conical, ,"Printed into a 100mM CaCl2 bath coated with PEI."
https://10.1021/acsbiomaterials.9b00167,Alginate Dialdehyde [3 wt%] Gelatin [2 wt%] ,0.12 Bar,26,25,27 Gauge Conical,RSC96 Neuronal Schwann Cells (1),"Printed into a 100mM CaCl2 bath coated with PEI."
https://10.1021/acsbiomaterials.9b00167,Alginate Dialdehyde [2 wt%] Gelatin [2 wt%] ,0.1 Bar,26,25,27 Gauge Conical,RSC96 Neuronal Schwann Cells (1),"Printed into a 100mM CaCl2 bath coated with PEI."
https://10.1021/acsbiomaterials.9b00167,Alginate Dialdehyde [2 wt%] Gelatin [3 wt%] ,0.3 Bar,26,25,27 Gauge Conical,RSC96 Neuronal Schwann Cells (1),"Printed into a 100mM CaCl2 bath coated with PEI."
https://10.1021/acsbiomaterials.9b00167,Alginate Dialdehyde [2 wt%] Gelatin [6 wt%] ,2.15 Bar,26,25,27 Gauge Conical, ,"Printed into a 100mM CaCl2 bath coated with PEI."
https://10.1021/acsbiomaterials.9b00167,Alginate Dialdehyde [3.75 wt%] Gelatin [3.75 wt%] ,0.75 Bar,26,25,27 Gauge Conical, ,"Printed into a 100mM CaCl2 bath coated with PEI."
https://10.1088/1758-5090/aa90d7,Alginate [3.5 wt%] ,1 Bar,25,25,21 Gauge Conical,Human Chondrocytes (3),".2M CaCl2 was sprayed over the scaffold"
https://10.1088/1758-5090/aa90d7,Alginate [3.5 wt%] PLA Fibers [1 wt%] ,1 Bar,25,25,21 Gauge Conical,Human Chondrocytes (3),".2M CaCl2 was sprayed over the scaffold"
https://10.1088/1758-5090/aa90d7,Alginate [2.5 wt%] PLA Fibers [2 wt%] ,1 Bar,25,25,21 Gauge Conical,Human Chondrocytes (3),".2M CaCl2 was sprayed over the scaffold"
https://10.1038/s41598-017-04691-9,Gelatin [7 wt%] Alginate [3 wt%] ,200 kPa,25,5,25 Gauge Cylindrical,MDA-MB-231 Epithelial Cells (1),"Scaffolds were rinsed with 100mM CaCl2 solution."
https://10.1016/j.bprint.2019.e00045,Alginate [2 wt%] ,30 kPa,,18,200 µm Conical,Primary Rat Schwann Cells (0.2),"Alginate was printed into a 50 mM CaCl2 bath for crosslinking"
https://10.1016/j.bprint.2019.e00045,Alginate RGD/YIGSR [2 wt%] ,30 kPa,,18,200 µm Conical,Primary Rat Schwann Cells (0.2),"Alginate was printed into a 50 mM CaCl2 bath for crosslinking"
https://10.1016/j.bprint.2019.e00045,Alginate [2 wt%] ,20 kPa,,6 - 12,200 µm Conical,Primary Rat Schwann Cells (0.2),"Alginate was printed into a 50 mM CaCl2 bath for crosslinking"
https://10.1016/j.bprint.2019.e00045,Alginate RGD/YIGSR [2 wt%] ,20 kPa,,6 - 12,200 µm Conical,Primary Rat Schwann Cells (0.2),"Alginate was printed into a 50 mM CaCl2 bath for crosslinking"
https://10.1039/c9tb00669a,Alginate RGD [1 wt%] Hyaluronic Acid [0.5 wt%] Fibrinogen [10 mg/ml] ,10 kPa,23,4 - 9,200 µm Cylindrical,Primary Rat Schwann Cells (1),"Crosslinked with Calcium chloride (100 mM) and Thrombin (25 U/mL)"
https://10.1039/c9tb00669a,Alginate RGD [1 wt%] Hyaluronic Acid [0.5 wt%] Fibrinogen [40 mg/ml] ,30 kPa,23,4 - 9,200 µm Cylindrical,Primary Rat Schwann Cells (1),"Crosslinked with Calcium chloride (100 mM) and Thrombin (25 U/mL)"
https://10.1155/2020/3863428,Gelatin [20 wt%] Alginate [1.25 wt%] Cellulose Nanofibers [0.25 wt%] ,,25,3,22 Gauge Cylindrical,Primary Rabbit Fibrochondrocytes (5),"Samples crosslinked with 0.1% w/v CaCl2 for 1 min"
https://10.1155/2020/3863428,Gelatin [20 wt%] Alginate [1.25 wt%] ,,25,3,22 Gauge Cylindrical, ,"Samples crosslinked with 0.1% w/v CaCl2 for 1 min"
https://10.1155/2020/3863428,Gelatin [10 wt%] Alginate [1.25 wt%] Cellulose Nanofibers [0.25 wt%] ,,20,3,22 Gauge Cylindrical, ,"Samples crosslinked with 0.1% w/v CaCl2 for 1 min"
https://10.1155/2020/3863428,Gelatin [10 wt%] Alginate [1.25 wt%] ,,20,3,22 Gauge Cylindrical, ,"Samples crosslinked with 0.1% w/v CaCl2 for 1 min"
https://10.1089/ten.tea.2019.0237,PCL [90 wt%] Hydroxyapatite [10 wt%] ,1.5 Bar,110,8,700 µm Cylindrical, ,"PCL Mw = 140,00 Da"
https://10.1089/ten.tea.2019.0237,PCL [80 wt%] Hydroxyapatite [20 wt%] ,2.5 Bar,120,9,700 µm Cylindrical, ,"PCL Mw = 140,00 Da"
https://10.1089/ten.tea.2019.0237,PCL [70 wt%] Hydroxyapatite [30 wt%] ,3.5 Bar,130,9,700 µm Cylindrical, ,"PCL Mw = 140,00 Da"
https://10.1016/j.matlet.2020.127382,Alginate [7 wt%] Gelatin [4 wt%] ,110 kPa - 130 kPa,25,3,22 Gauge Conical, ,"420mM CaCl2 was used to crosslink the constructs."
https://10.1016/j.matlet.2020.127382,Alginate [7 wt%] Gelatin [4 wt%] ,138 kPa - 207 kPa,25,3,22 Gauge Conical, ,"420mM CaCl2 was used to crosslink the constructs."
https://10.2217/3dp-2018-0017,Gelatin Methacrylated [15 wt%] ,23 psi,20,2,23 Gauge Cylindrical,Primary Rat Cardiac Myocytes (1),"Construct crosslinked with LAP (0.5 wt%, 7mW/cm2, 300s) post print"
https://10.1016/j.msec.2019.110578,Gelatin Methacrylated [15 wt%] ,2 Bar,15,10,27 Gauge Conical,Primary Sheep Chondrocytes (10),"GelMA was printed between PCL layers."
https://10.1016/j.msec.2019.110578,Gelatin Methacrylated [20 wt%] ,2 Bar,20,10,27 Gauge Conical,Primary Sheep Chondrocytes (10),"GelMA was printed between PCL layers."
https://10.1089/3dp.2018.0175,Gelatin Methacrylated [5 wt%] ,3 psi,25,12,23 Gauge Cylindrical,HEK293 Kidney Cells (5),"An agarose support slurry was used"
https://https://ojs.cnr.ncsu.edu/index.php/BioRes/article/view/BioRes_14_4_9244_Feng_3D_Bioprinting_Molding_Technology_Tissue/7198,Gelatin [5 wt%] Nanocellulose [10 wt%] ,80 kPa,20,20,260 µm Conical, ,""
https://10.3390/pharmaceutics12060550,Alginate [6 wt%] ,10 kPa,37,6,20 Gauge Conical, ,"Alginate was crosslinked partially before printing."
https://10.3390/pharmaceutics12060550,Chitosan [1.2 wt%] Genipin [1 wt%] PEG [1.2 wt%] ,25 kPa,37,4,22 Gauge Conical,Human Dermal Fibroblasts/ Primary Human Epidermal Keratinocytes Mix (1),""
https://10.3390/app10030768,Alginate [3 wt%] Gelatin [8 wt%] ,1.8 Bar,37,10,400 µm Conical, ,""
https://10.1021/acsami.6b11669,Collagen [5 wt%] ,110 kPa - 300 kPa,10,10,310 µm Cylindrical,MG63 Osteoblast-like Cells (2),"Genipin was used to crosslink the collagen post printing."
https://10.1021/acsami.6b11669,Collagen [5 wt%] ,110 kPa - 300 kPa,10,10,310 µm Cylindrical,Human Adipose-derived Stem Cells (2),"Genipin was used to crosslink the collagen post printing."
https://10.1016/j.jmbbm.2018.01.034,Alginate [3 wt%] ,0.2 Bar,20,6,200 µm Conical, ,"Alginate was dispensed into 50mM CaCl2"
https://10.1088/1758-5090-aa8854,Alginate [2.8 wt%] Agarose [0.9 wt%] Methylcellulose [3 wt%] ,80 kPa - 100 kPa,25,8 - 10,610 µm Conical,Plant cells - Basil ,"1 g of concentrated biomass was mixed into 10 ml of hydrogel paste. Cr4osslinked with 0.1M CaCl2"
https://10.1016/j.actbio.2019.02.038,Alginate Methacrylated [9 wt%] ,138 kPa,25,10,210 µm Cylindrical,Human Mesenchymal Stem Cells (2),"Several other bioink combinations tested. RGD peptide was added at 50mg/ml."
https://10.1016/j.actbio.2019.02.038,Hyaluronic Acid Methacrylated [15 wt%] ,552 kPa,25,10,210 µm Cylindrical,Human Mesenchymal Stem Cells (2),"Several other bioink combinations tested. RGD peptide was added at 50mg/ml."
https://10.1016/j.actbio.2019.02.038,Pluronic F127 [40 wt%] ,414 kPa,25,4,80 µm Cylindrical, ,""
https://10.1016/j.actbio.2019.02.038,Pluronic F127 [40 wt%] ,414 kPa,25,4,300 µm Cylindrical, ,""
https://10.1016/j.actbio.2019.02.038,Pluronic F127 [40 wt%] ,414 kPa,25,4,400 µm Cylindrical, ,""
https://10.1088/1758-5090/8/2/025020,PCL [100 wt%] ,400 kPa,65,2.5,300 µm Cylindrical, ,"Average MW of 10000 g mol−1"
https://10.1088/1758-5090/8/2/025020,PCL [100 wt%] ,800 kPa,90,1.5,300 µm Cylindrical, ,"Average MW of 45000 g mol−1"
https://10.1088/1758-5090/8/2/025020,PCL [100 wt%] ,800 kPa,110,1,300 µm Cylindrical, ,"Average MW of 80000 g mol−1"
https://10.1089/ten.tec.2015.0307,PCL [100 wt%] ,800 kPa,75,1,300 µm Cylindrical, ,"PCL Mw 48,000 -90,000."
https://10.1089/ten.tec.2015.0307,Alginate [2.5 wt%] ,10 kPa,10,25,200 µm Conical,Primary Embryonic Chick Chondrocytes (5.68),"Each alginate layer was partiallly crosslinked with aerosolized CaCl2 (170mM) during print"
https://10.1088/1758-5090/aaf44a,Alginate [2.5 wt%] Hydroxyapatite [2 wt%] ,0.3 Bar,37,14 - 17,250 µm Conical,Primary Embryonic Chick Chondrocytes (1.57),"The ink was printed into a crosslinking medium containing 100 mM CaCl2, 0.1% (w/v) PEI. HA was stabilized in bioink using sodium citrate."
https://10.1088/1758-5090/aaf44a,Alginate [2.5 wt%] Hydroxyapatite [1 wt%] ,0.3 Bar,37,15 - 17,250 µm Conical,Primary Embryonic Chick Chondrocytes (1.57),"The ink was printed into a crosslinking medium containing 100 mM CaCl2, 0.1% (w/v) PEI. HA was stabilized in bioink using sodium citrate."
https://10.1088/1758-5090/aacd30,Alginate [1 wt%] Hyaluronic Acid [0.5 wt%] Fibrinogen [40 mg/ml] ,30 kPa,22,9,200 µm Cylindrical,Primary Rat Schwann Cells (1),"Printed in a bath of 20 mM CaCl2 + 10 U/ml thrombin"
https://http://ijb.whioce.com/index.php/int-j-bioprinting/article/view/02009,Chitosan [2.5 wt%] Gelatin [5 wt%] ,2.4 Bar,27,16.667,210 µm Cylindrical, ,"A polyelectrolyte complex was formed between the gelatin and chitosan"
https://10.1021/acs.biomaterials.8b00804,Chitosan [4 wt%] ,0.4 Bar - 0.7 Bar,20,10 - 20,580 µm Cylindrical, ,"Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture."
https://10.1021/acs.biomaterials.8b00804,Chitosan [4 wt%] Silk Particles [2 wt%] ,0.4 Bar - 0.7 Bar,20,10 - 20,580 µm Cylindrical, ,"Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture."
https://10.1021/acs.biomaterials.8b00804,Chitosan [4 wt%] Silk Particles [4 wt%] ,0.4 Bar - 0.7 Bar,20,10 - 20,580 µm Cylindrical, ,"Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture."
https://10.1021/acs.biomaterials.8b00804,Chitosan [4 wt%] Silk Particles [12 wt%] ,0.4 Bar - 0.7 Bar,20,10 - 20,580 µm Cylindrical, ,"Each layer was solidifed through the manually pipetting coagulant sollution 12wt% NaOH in 7/3 water/ethanol mixture."
https://10.1002/slct.201902878,Gelatin [20 wt%] Alginate [2 wt%] Beta Tricalcium Phosphate [10 wt%] ,,43,15 - 20,19 Gauge Cylindrical, ,"Immersed in 1M CaCl2 for an hour after printing. Bioink flow rate set between 3 ml/h to 5 ml/h"
https://10.1002/slct.201902878,Gelatin [20 wt%] Alginate [2 wt%] Beta Tricalcium Phosphate [13 wt%] ,,43,15 - 20,19 Gauge Cylindrical, ,"Immersed in 1M CaCl2 for an hour after printing. Bioink flow rate set between 3 ml/h to 5 ml/h"
https://10.1002/slct.201902878,Gelatin [20 wt%] Alginate [2 wt%] Beta Tricalcium Phosphate [15 wt%] ,,43,15 - 20,19 Gauge Cylindrical, ,"Immersed in 1M CaCl2 for an hour after printing. Bioink flow rate set between 3 ml/h to 5 ml/h"
https://10.1021/acs.biomac.9b01204,Gelatin Norbornene [10 wt%] ,N/A,22.5,15,18 Gauge Conical,NIH 3T3 Fibroblasts (2),"The hydrogel was crosslinked with LAP (.1wt%, 5mW/cm2) concurrent with printing."
https://10.1021/acs.biomac.9b01204,Gelatin Methacrylated [10 wt%] ,N/A,22.5,15,18 Gauge Conical,NIH 3T3 Fibroblasts (2),"The hydrogel was crosslinked with LAP (.1wt%, 5mW/cm2) concurrent with printing."
https://10.1016/j.biomaterials.2013.09.078,Gelatin Methacrylated [10 wt%] ,3 Bar,27.5,7.5,30 Gauge Cylindrical, ,"VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2"
https://10.1016/j.biomaterials.2013.09.078,Gelatin Methacrylated [10 wt%] ,3 Bar,24.5,6.67,30 Gauge Cylindrical,HEPG2 Liver Cells (1.5),"VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2"
https://10.1016/j.biomaterials.2013.09.078,Gelatin Methacrylated [10 wt%] ,0.5 Bar - 1 Bar,24.5,10,27 Gauge Cylindrical,HEPG2 Liver Cells (1.5),"VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2"
https://10.1016/j.biomaterials.2013.09.078,Gelatin Methacrylated [15 wt%] ,4 Bar,28.5,9.16,27 Gauge Cylindrical, ,"VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2"
https://10.1016/j.biomaterials.2013.09.078,Gelatin Methacrylated [20 wt%] ,4 Bar,30,9.16,27 Gauge Cylindrical, ,"VA-086 used as photo-initiator with an optimized UV dose of 1800 mJ/cm2"
https://10.1016/j.actbio.2014.09.023,Gelatin [15 wt%] Silk Fibroin [8 wt%] ,200 kPa - 250 kPa,28,1,250 µm Cylindrical,Primary Human Nasal Inferior Turbinate Tissue-derived (2.5),"Post-printing crosslinking occurred through either the use of tyrosinase addition or sonication."
https://10.1016/j.actbio.2016.12.008,Fibrinogen [30 mg/ml] Gelatin [35 mg/ml] Hyaluronic Acid [3 mg/ml] ,60 kPa,18,1.67 - 8.34,300 µm Conical,Primary Rabbit Bladder Urothelial Cells (10),"The cell-laden hydrogel was printed into a urethra structure. Final crosslinking done with thrombin"
https://10.1016/j.actbio.2016.12.008,Fibrinogen [30 mg/ml] Gelatin [35 mg/ml] Hyaluronic Acid [3 mg/ml] ,60 kPa,18,1.67 - 8.34,300 µm Conical,Primary Rabbit Smooth Muscle Cells (10),"The cell-laden hydrogel was printed into a urethra structure. Final crosslinking done with thrombin"
https://10.1016/j.actbio.2016.12.008,PLCL [100 wt%] ,550 kPa,160,1.67 - 8.34,200 µm Cylindrical, ,"PLCL LA:CL 70:30."
https://10.1016/j.actbio.2016.12.008,PLCL [50 wt%] PCL [50 wt%] ,760 kPa,150,1.67 - 8.34,200 µm Cylindrical, ,"PLCL LA:CL 70:30. PCL Mw 43000-50,000."
https://10.1016/j.actbio.2016.12.008,PCL [100 wt%] ,760 kPa,98,1.67 - 8.34,200 µm Cylindrical, ,"PCL Mw 43000-50,000."
https://10.1007/s10544-014-9915-8,Gelatin [5 wt%] ,50 kPa,24,5,30 Gauge Cylindrical,Human Umbilical Vein Endothelial Cells (5),"Gelatin crosslinked with microbial transglutaminase at 3U/mL"
https://10.1007/s10544-014-9915-8,Gelatin [5 wt%] ,50 kPa,24,5,30 Gauge Cylindrical,HEK293 Kidney Cells (5),"Gelatin crosslinked with microbial transglutaminase at 3U/mL"
https://10.1088/0960-1317/22/8/085014,Alginate [4 wt%] ,kPa,25,4.166667,200 µm Cylindrical,MG63 Human Osteoblasts (1),"Crosslinked with CaCl2 (100 mM)and naCl (145 mM). Alginate extruded by a piston at 0.01 mm/s."
https://10.1088/0960-1317/22/8/085014,Alginate [4 wt%] ,kPa,25,4.166667,200 µm Cylindrical,Primary Human Nasal Septum Cartilage Chondrocytes (1),"Crosslinked with CaCl2 (100 mM)and naCl (145 mM). Alginate extruded by a piston at 0.01 mm/s."
https://10.1088/0960-1317/22/8/085014,PCL [100 wt%] ,400 kPa,80,1.666667,200 µm Cylindrical, ,"PCL MW of 70,000 - 90,000."
https://10.1016/j.procir.2015.11.001,Pluronic F127 [25 wt%] ,1.2 Bar,37,,200 µm Conical,Balb 3T3 Mouse Fibroblasts (1),""
https://10.1016/j.matdes.2018.09.040,Gellan Gum [1.5 wt%] PEGDA [10 wt%] ,,37,10,25 Gauge Cylindrical,Cell Line MC3T3-E1 Osteoblasts (2),"Constrcut crosslinked with I2959 (0.1 wt%, 50 mW/cm2, 180s) post print"
https://10.1016/j.matdes.2018.09.040,Gellan Gum [1.5 wt%] PEGDA [10 wt%] ,,37,10,25 Gauge Cylindrical,Murine Bone Marrow Stromal Cells (2),"Constrcut crosslinked with I2959 (0.1 wt%, 50 mW/cm2, 180s) post print"
https://10.1016/j.bprint.2020.e00085,Alginate [5 wt%] ,24 psi,20,10,203 µm Conical, ,"CaCl2 was co sprayed during printing to crosslink alginate"
https://10.1016/j.bprint.2020.e00085,Alginate [7 wt%] ,44 psi,20,10,203 µm Conical, ,"CaCl2 was co sprayed during printing to crosslink alginate"
https://10.1088/1758-5090/ab94d0,Alginate [1 wt%] Cellulose Nanofibrillated [2 wt%] ,2 psi - 10 psi,25,1,500 µm Cylindrical,PC-12 Cells (1),"Cured post print by exposure to 50 mM CaCl2 for 2 mins"
https://10.1088/1758-5090/ab94d0,Alginate [1 wt%] Cellulose Nanofibrillated [2 wt%] ,2 psi - 10 psi,25,1,500 µm Cylindrical,NIH 3T3 Fibroblasts (1),"Cured post print by exposure to 50 mM CaCl2 for 2 mins"
https://10.1088/1758-5090/ab94d0,Alginate [0.25 wt%] Cellulose Nanofibrillated [2 wt%] ,2 psi - 10 psi,25,1,500 µm Cylindrical,C57BL/6 Mouse Embryonic Stem Cells (1),"Cured post print by exposure to 50 mM CaCl2 for 2 mins"
https://10.1002/jbm.b.34602,Chitosan [4.5 wt%] ,25 kPa,37,10,22 Gauge Cylindrical,Human Fibroblasts (0.2),""
https://10.1002/jbm.b.34602,Poly(gamma glutamic acid) [2 wt%] ,5 kPa - 10 kPa,37,10,25 Gauge Cylindrical, ,""
https://10.1002/jbm.b.34602,Chitosan [6 wt%] ,40 kPa,37,10,22 Gauge Cylindrical,Human Fibroblasts (0.2),""
https://10.1088/1748-605X/ab3c74,Alginate [0.8 wt%] Gelatin [4.1 wt%] Glycerol [10 %] ,40 kPa - 60 kPa,20,2,27 Gauge Cylindrical,Human Mesenchymal Stem Cells (5),"The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min"
https://10.1088/1748-605X/ab3c74,Alginate [1.3 wt%] Gelatin [4.1 wt%] Glycerol [10 %] ,40 kPa - 60 kPa,20,2,27 Gauge Cylindrical,Human Mesenchymal Stem Cells (5),"The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min"
https://10.1088/1748-605X/ab3c74,Alginate [1.8 wt%] Gelatin [4.1 wt%] Glycerol [10 %] ,40 kPa - 60 kPa,20,2,27 Gauge Cylindrical,Human Mesenchymal Stem Cells (5),"The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min"
https://10.1088/1748-605X/ab3c74,Alginate [2.3 wt%] Gelatin [4.1 wt%] Glycerol [10 %] ,40 kPa - 60 kPa,20,2,27 Gauge Cylindrical,Human Mesenchymal Stem Cells (5),"The ink was cooled to 0°C prior to printing. Scaffolds were crosslinked with 2% (w/v) CaCl2 solution for 10 min"
https://10.3390/cells8080830,Alginate [6 wt%] Gelatin [4 wt%] ,55 kPa,25,10,410 µm Conical,Cell Line SH-SY5Y (0.05),"Alginate crosslinked in 2% CaCl2 bath post-print"
https://10.3390/cells8080830,Alginate [6 wt%] Gelatin [4 wt%] ,45 kPa,25,10,410 µm Conical,Cell Line SH-SY5Y (0.05),"Alginate crosslinked in 2% CaCl2 bath post-print"
https://10.3390/cells8080830,Alginate [6 wt%] Gelatin [4 wt%] ,55 kPa,25,10,410 µm Conical,Human Induced Pluripotent Stem Cells (2),"Alginate crosslinked in 2% CaCl2 bath post-print"
https://10.3390/cells8080830,Alginate [4 wt%] Gelatin [4 wt%] ,55 kPa,25,10,410 µm Conical,Neural Stem Cells iPSC Differentiated (2),"Alginate crosslinked in 2% CaCl2 bath post-print"
https://10.3390/gels5030034,Gelatin Methacrylated [10 wt%] ,50 kPa - 57 kPa,25,1.25,250 µm Conical, ,"The GelMA post-printing was crosslinked with only UV, or mTGase after UV crosslinking."
https://10.1088/1758-5090/ab0b7c,Gelatin Methacrylated [5 wt%] Hydroxyapatite [0.5 wt%] Gelatin [5 wt%] ,125 kPa,23,5,200 µm Conical,Primary Human Adipose-derived Mesenchymal Stem Cells (5),"Crosslinked with LAP"
https://10.1016/j.actbio.2014.09.033,Hyaluronic Acid pNIPAAM [15 wt%] Hyaluronic Acid Methacrylated [2 wt%] ,1.5 Bar,23,8.333,300 µm Cylindrical,Primary Bovine Chondrocytes (6),""
https://10.1088/1758-5090/ab02c9,Pluronic F127 Thiolated [12 wt%] Hyaluronic Acid Dopamine Conjugated [1 wt%] Gelatin Dopamine Conjugated [2 wt%] ,2 psi - 10 psi,37,1,27 Gauge Conical,S16Y Schwann Cells (3.2),"Crosslinking was done post-processing"
https://10.1088/1758-5090/ab02c9,Pluronic F127 Thiolated [12 wt%] Hyaluronic Acid Dopamine Conjugated [1 wt%] Gelatin Methacrylated Dopamine Conjugated [5 wt%] ,2 psi - 10 psi,37,1,27 Gauge Conical,S16Y Schwann Cells (3.2),"Crosslinking was done post-processing"
https://10.1016/j.jmbbm.2017.09.031,Hyaluronic Acid [2 wt%] Methylcellulose [5 wt%] ,160 kPa - 175 kPa,25,3,23 Gauge Cylindrical, ,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated."
https://10.1016/j.jmbbm.2017.09.031,Hyaluronic Acid [2 wt%] Methylcellulose [6 wt%] ,160 kPa - 175 kPa,25,3,23 Gauge Cylindrical, ,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated."
https://10.1016/j.jmbbm.2017.09.031,Hyaluronic Acid [2 wt%] Methylcellulose [7 wt%] ,160 kPa - 175 kPa,25,3,23 Gauge Cylindrical, ,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated."
https://10.1016/j.jmbbm.2017.09.031,Hyaluronic Acid [2 wt%] Methylcellulose [9 wt%] ,160 kPa - 175 kPa,25,3,23 Gauge Cylindrical, ,"Mesenchymal Stem cells were encapsulated into the hydrogel, however cell concentration was not stated."
https://10.1016/j.bprint.2017.09.001,Alginate [7 wt%] Gelatin [8 wt%] ,100 kPa,37,3,30 Gauge Cylindrical, ,"The alginate/gelatin composite was optimized."
https://10.1088/1758-5090/ab56f9,Gelatin [15 wt%] ,2.4 Bar,35,64,25 Gauge Cylindrical, ,"Crosslinking occurred post processing."
https://10.1016/j.actbio.2019.01.018,Alginate [10 wt%] ,20 kPa,25,1,21 Gauge Cylindrical, ,"Alginate was used as sacrifical template. Likewise, 100mM CaCl2 was pippetted on the printed filament and allowed to crosslink for 5 minutes."
https://10.1088/1748-605X/aa7692,Chitosan [6 wt%] ,,2 - 2,3,260 µm Cylindrical, ,"Chitosan was frozen prior to printing and then immersed into a coagulation bath."
https://10.1088/1748-605X/aa7692,Chitosan Raffinose Modified [6 wt%] ,,2 - 2,3,260 µm Cylindrical, ,"Chitosan was frozen prior to printing and then immersed into a coagulation bath."
https://10.1088/1748-605X/aa7692,PLA [100 wt%] ,,180,2,350 µm Cylindrical, ,""
https://10.1038/s41467-020-16192,Hyaluronic Acid Methacrylated [2 wt%] Gelatin Methacrylated [10 wt%] ,80 kPa,25,28,22 Gauge Cylindrical, ,"Poly-L-lysine and Heparin were coated on the surface of the 3D printed hydrogel scaffold. Crosslinking occurred post-proecsssing."
https://10.7150/thno.44270,PCL [100 wt%] ,80 kPa,130,7,300 µm Cylindrical, ,"PCL Mol Wt = 80,000. PCL was immersed in silk fibroin solution and irradiated with gamma rays."
https://10.1016/j.biomaterials.2020.119838,PCL [100 wt%] ,4 Bar,180,1,22 Gauge Cylindrical, ,"PCL MW = 80,000"
https://10.1016/j.compscitech.2020.108069,PCL [100 wt%] ,6 Bar,130,0.6,400 µm Cylindrical, ,"PCL MW = 50,000."
https://10.1016/j.compscitech.2020.108069,PCL [90 wt%] Hydroxyapatite [10 wt%] ,6.2 Bar,130,0.5,400 µm Cylindrical, ,"PCL MW = 50,000"
https://10.1016/j.compscitech.2020.108069,PCL [90 wt%] Hydroxyapatite [7.54 wt%] Strontium [2.46 wt%] ,6.2 Bar,130,0.6,400 µm Cylindrical, ,"PCL MW = 50,000. Strontium was added to the HA powder"
https://10.1016/j.compscitech.2020.108069,PCL [80 wt%] Hydroxyapatite [20 wt%] ,6.4 Bar,140,0.5,400 µm Cylindrical, ,"PCL MW = 50,000"
https://10.1016/j.compscitech.2020.108069,PCL [80 wt%] Hydroxyapatite [17.54 wt%] Strontium [2.46 wt%] ,6.4 Bar,140,0.6,400 µm Cylindrical, ,"PCL MW = 50,000. Strontium was added to the HA powder"
